Timestamp,gender,media,age_limit,information,friend_stranger,policies,victim,government,social_sites,parents,school,opinion
28-12-2020 13:36,Male,"YouTube, Discord",Can't Say,"E-Mail, Mobile number, Date of birth, Other",No,Can't Say,No,Maybe,Yes,Yes,Yes,Gud survey
28-12-2020 14:25,Female,"Facebook, Instagram, Twitter, Snapchat, YouTube, WhatsApp",Yes,"E-Mail, Mobile number, Date of birth",Yes,Yes,No,Yes,Yes,Yes,Yes,Being more conscious about the usage of social media...
28-12-2020 14:25,Male,"WhatsApp, Discord",Yes,"E-Mail, Mobile number",No,Yes,No,No,Yes,Yes,,don't use them
28-12-2020 15:06,Female,"YouTube, WhatsApp, Discord, Any other",Yes,"E-Mail, Mobile number",No,Can't Say,No,No,Yes,Yes,Yes,"Creating awareness, not disclosing personal info on any platform, adhering to age limits on various sites"
28-12-2020 15:10,Male,"YouTube, WhatsApp, Discord",Yes,"E-Mail, Mobile number, Date of birth",No,Can't Say,No,Yes,Yes,Yes,Yes,Don't overuse technology and only use it for your benefit too and not just enjoyment.
28-12-2020 15:11,Female,"Facebook, Instagram, Twitter, Snapchat, YouTube, WhatsApp",Yes,E-Mail,No,No,Yes,Yes,Yes,No,Yes,stop using technology
28-12-2020 15:35,Male,"YouTube, WhatsApp, Discord",Yes,"E-Mail, Mobile number",No,No,No,Yes,Yes,Yes,Yes,i believe that people must be more cautious while doing internet surfing and using social media.
28-12-2020 15:38,Female,"WhatsApp, Discord",Yes,"E-Mail, Date of birth",No,Yes,No,Yes,Yes,Yes,Yes,One should never share their personal information or passwords on social networking sites.
28-12-2020 15:41,Male,"Facebook, Instagram, YouTube, WhatsApp, Discord",Yes,E-Mail,No,Can't Say,No,Yes,Yes,Yes,Yes,We should not share our personal details with strangers
28-12-2020 15:43,Male,"Facebook, Instagram, YouTube, WhatsApp, Discord",Yes,Mobile number,No,Yes,No,No,Yes,Yes,Yes,Education on cyber security
28-12-2020 15:54,Female,"Twitter, YouTube, WhatsApp, Discord",Yes,Other,No,Yes,No,Maybe,Yes,Yes,Yes,Not share personal information on social media sites and not get influenced by the strangers..
